antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'AMF5010000'}),frozenset({'AYGL400000'}),0.04857952672862698,0.15859205062289894,0.010216861116604047,0.21031207598371776,1.3261199105357366,0.0025125343544211637,1.0654942589191125,0.2584770725035423
frozenset({'AYGL400000'}),frozenset({'AMF5010000'}),0.15859205062289894,0.04857952672862698,0.010216861116604047,0.06442227763923525,1.3261199105357369,0.0025125343544211637,1.0169336555712676,0.2922724688222585
frozenset({'AMFR010000'}),frozenset({'AWK7010000'}),0.03974688550524026,0.07600026366093204,0.013380792301100784,0.3366500829187396,4.429590986955939,0.010360018523001646,1.3929296025311448,0.8062931643145244
frozenset({'AWK7010000'}),frozenset({'AMFR010000'}),0.07600026366093204,0.03974688550524026,0.013380792301100784,0.17606244579358196,4.42959098695594,0.010360018523001646,1.1654440431710085,0.8379282934608354
frozenset({'AR5X010000'}),frozenset({'AR5K010000'}),0.26339727110935335,0.07580251796190099,0.040076461670292,0.15215215215215216,2.007217652435044,0.020110285295909542,1.0900511033719729,0.6812327799364183
frozenset({'AR5K010000'}),frozenset({'AR5X010000'}),0.07580251796190099,0.26339727110935335,0.040076461670292,0.5286956521739131,2.007217652435044,0.020110285295909542,1.5629024690484203,0.542955303886276
frozenset({'AVHSG0301'}),frozenset({'AR5K010000'}),0.16762243754531672,0.07580251796190099,0.0226089249225496,0.1348800629178136,1.7793612474140437,0.009902722089703104,1.0682882712831299,0.526204205380057
frozenset({'AR5K010000'}),frozenset({'AVHSG0301'}),0.07580251796190099,0.16762243754531672,0.0226089249225496,0.2982608695652174,1.779361247414044,0.009902722089703104,1.1861638126677643,0.47392530529486904
frozenset({'AVHSG0249'}),frozenset({'AR5X010000'}),0.027882143563377496,0.26339727110935335,0.01674246918462857,0.6004728132387708,2.2797229853967447,0.009398388657355716,1.8436861202410866,0.5774507793930154
frozenset({'AR5X010000'}),frozenset({'AVHSG0249'}),0.26339727110935335,0.027882143563377496,0.01674246918462857,0.06356356356356357,2.2797229853967447,0.009398388657355716,1.038103408423502,0.762080008455319
frozenset({'AR5X010000'}),frozenset({'AVHSG0260'}),0.26339727110935335,0.029266363456594818,0.01252389427196625,0.04754754754754755,1.6246482969455944,0.004815214002204674,1.0191938023193503,0.5219667961850937
frozenset({'AVHSG0260'}),frozenset({'AR5X010000'}),0.029266363456594818,0.26339727110935335,0.01252389427196625,0.42792792792792794,1.6246482969455944,0.004815214002204674,1.2876047701867999,0.396073806435012
frozenset({'AR5X010000'}),frozenset({'AVHSG0277'}),0.26339727110935335,0.017006130116669963,0.011403335310790323,0.043293293293293296,2.545746327723072,0.006923967045928865,1.0274767209138862,0.8243084920665709
frozenset({'AVHSG0277'}),frozenset({'AR5X010000'}),0.017006130116669963,0.26339727110935335,0.011403335310790323,0.6705426356589147,2.545746327723072,0.006923967045928865,2.235805930044551,0.6176924427575894
frozenset({'AR5X010000'}),frozenset({'AVHSG0301'}),0.26339727110935335,0.16762243754531672,0.0783732120493046,0.2975475475475476,1.7751057191678508,0.03422191942317016,1.1849592944670162,0.5927934477678497
frozenset({'AVHSG0301'}),frozenset({'AR5X010000'}),0.16762243754531672,0.26339727110935335,0.0783732120493046,0.467558002359418,1.7751057191678508,0.03422191942317016,1.3834422005678837,0.5245855859047925
frozenset({'AR5X010000'}),frozenset({'AVHSG0468'}),0.26339727110935335,0.04060378353437479,0.026102432272098082,0.09909909909909911,2.440637065637066,0.015407506492428868,1.064929800276844,0.8013422818791947
frozenset({'AVHSG0468'}),frozenset({'AR5X010000'}),0.04060378353437479,0.26339727110935335,0.026102432272098082,0.6428571428571429,2.440637065637066,0.015407506492428868,2.062487640893811,0.6152524905530746
frozenset({'AR5X010000'}),frozenset({'AY4R010000'}),0.26339727110935335,0.050161492320875356,0.023004416320611693,0.08733733733733734,1.7411231862611627,0.00979201612852034,1.0407333909201488,0.5778665794888559
frozenset({'AY4R010000'}),frozenset({'AR5X010000'}),0.050161492320875356,0.26339727110935335,0.023004416320611693,0.4586070959264126,1.7411231862611627,0.00979201612852034,1.3605696036062673,0.4481373369734883
frozenset({'AR5X010000'}),frozenset({'AY4Y010000'}),0.26339727110935335,0.04864544196163734,0.0276184826313361,0.10485485485485486,2.155491873987809,0.014805405966732398,1.06279362983542,0.7277583251910107
frozenset({'AY4Y010000'}),frozenset({'AR5X010000'}),0.04864544196163734,0.26339727110935335,0.0276184826313361,0.567750677506775,2.155491873987809,0.014805405966732398,1.7041154041419975,0.5634794764781783
frozenset({'AR5X010000'}),frozenset({'AYGL400000'}),0.26339727110935335,0.15859205062289894,0.052204864544196164,0.19819819819819823,1.2497360203095866,0.01043215119048816,1.049396431245598,0.27128737034777317
frozenset({'AYGL400000'}),frozenset({'AR5X010000'}),0.15859205062289894,0.26339727110935335,0.052204864544196164,0.3291770573566085,1.2497360203095866,0.01043215119048816,1.0980583430674697,0.2374959940177333
frozenset({'AR5X010000'}),frozenset({'VN1R010000'}),0.26339727110935335,0.034210005932370974,0.01713796058269066,0.06506506506506507,1.9019308325666706,0.008127138375469356,1.0330023598218,0.6437914300464636
frozenset({'VN1R010000'}),frozenset({'AR5X010000'}),0.034210005932370974,0.26339727110935335,0.01713796058269066,0.5009633911368016,1.9019308325666708,0.008127138375469356,1.4760494837615663,0.49101619101619104
frozenset({'AR5Y010000'}),frozenset({'AYGL400000'}),0.04712939160239932,0.15859205062289894,0.011798826708852416,0.25034965034965034,1.5785762865563364,0.004324479850018275,1.1224005294862447,0.3846459145532736
frozenset({'AYGL400000'}),frozenset({'AR5Y010000'}),0.15859205062289894,0.04712939160239932,0.011798826708852416,0.0743973399833749,1.5785762865563364,0.004324479850018275,1.029459669422823,0.4356005750710633
frozenset({'AYGL400000'}),frozenset({'AVHSG0260'}),0.15859205062289894,0.029266363456594818,0.013183046602069738,0.0831255195344971,2.840309137067242,0.008541634007213294,1.0587421258039134,0.7700493537015277
frozenset({'AVHSG0260'}),frozenset({'AYGL400000'}),0.029266363456594818,0.15859205062289894,0.013183046602069738,0.45045045045045046,2.840309137067242,0.008541634007213294,1.531086596407512,0.6674597677734774
