antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'A3K0010000'}),frozenset({'A3JX010000'}),0.11072664359861592,0.04498269896193772,0.01730103806228374,0.15625,3.473557692307692,0.012320254786221431,1.1318723567858515,0.8007782101167316
frozenset({'A3JX010000'}),frozenset({'A3K0010000'}),0.04498269896193772,0.11072664359861592,0.01730103806228374,0.38461538461538464,3.4735576923076925,0.012320254786221431,1.445069204152249,0.7456521739130435
frozenset({'AEC0010000'}),frozenset({'A3JX010000'}),0.05536332179930796,0.04498269896193772,0.010380622837370242,0.18749999999999997,4.16826923076923,0.007890231199339088,1.1754059089699227,0.8046398046398046
frozenset({'A3JX010000'}),frozenset({'AEC0010000'}),0.04498269896193772,0.05536332179930796,0.010380622837370242,0.23076923076923075,4.16826923076923,0.007890231199339088,1.2280276816608997,0.7958937198067633
frozenset({'AR5K010000'}),frozenset({'A3JX010000'}),0.08650519031141868,0.04498269896193772,0.010380622837370242,0.12000000000000001,2.667692307692308,0.006489385902946563,1.085246932997798,0.6843434343434343
frozenset({'A3JX010000'}),frozenset({'AR5K010000'}),0.04498269896193772,0.08650519031141868,0.010380622837370242,0.23076923076923075,2.667692307692308,0.006489385902946563,1.1875432525951557,0.6545893719806762
frozenset({'AW9X010000'}),frozenset({'A3JX010000'}),0.020761245674740483,0.04498269896193772,0.010380622837370242,0.5,11.115384615384615,0.009446725973108559,1.9100346020761245,0.9293286219081273
frozenset({'A3JX010000'}),frozenset({'AW9X010000'}),0.04498269896193772,0.020761245674740483,0.010380622837370242,0.23076923076923075,11.115384615384615,0.009446725973108559,1.2730103806228372,0.9528985507246377
frozenset({'A3K0010000'}),frozenset({'A3JY010000'}),0.11072664359861592,0.058823529411764705,0.03460207612456748,0.3125,5.3125,0.028088744148178305,1.3689839572192513,0.9128404669260701
frozenset({'A3JY010000'}),frozenset({'A3K0010000'}),0.058823529411764705,0.11072664359861592,0.03460207612456748,0.5882352941176471,5.3125,0.028088744148178305,2.1596638655462184,0.8625
frozenset({'AR5X010000'}),frozenset({'A3JY010000'}),0.1695501730103806,0.058823529411764705,0.010380622837370242,0.061224489795918366,1.0408163265306123,0.00040708324852432344,1.0025575447570332,0.04722222222222224
frozenset({'A3JY010000'}),frozenset({'AR5X010000'}),0.058823529411764705,0.1695501730103806,0.010380622837370242,0.1764705882352941,1.0408163265306123,0.00040708324852432344,1.008403361344538,0.04166666666666669
frozenset({'AWK8010000'}),frozenset({'A3JY010000'}),0.1903114186851211,0.058823529411764705,0.01730103806228374,0.09090909090909091,1.5454545454545454,0.00610624872786485,1.035294117647059,0.43589743589743596
frozenset({'A3JY010000'}),frozenset({'AWK8010000'}),0.058823529411764705,0.1903114186851211,0.01730103806228374,0.29411764705882354,1.5454545454545454,0.00610624872786485,1.147058823529412,0.37500000000000006
frozenset({'AX09010000'}),frozenset({'A3JY010000'}),0.020761245674740483,0.058823529411764705,0.010380622837370242,0.5,8.5,0.009159373091797271,1.8823529411764706,0.901060070671378
frozenset({'A3JY010000'}),frozenset({'AX09010000'}),0.058823529411764705,0.020761245674740483,0.010380622837370242,0.1764705882352941,8.5,0.009159373091797271,1.1890756302521008,0.9374999999999999
frozenset({'A3K0010000'}),frozenset({'AR5L010000'}),0.11072664359861592,0.06228373702422145,0.01384083044982699,0.125,2.0069444444444446,0.0069443612983561024,1.0716757291151755,0.5642023346303502
frozenset({'AR5L010000'}),frozenset({'A3K0010000'}),0.06228373702422145,0.11072664359861592,0.01384083044982699,0.22222222222222224,2.0069444444444446,0.0069443612983561024,1.143351458230351,0.5350553505535055
frozenset({'AR5X010000'}),frozenset({'A3K0010000'}),0.1695501730103806,0.11072664359861592,0.02422145328719723,0.14285714285714288,1.2901785714285716,0.005447731708193151,1.0374855824682814,0.2708333333333334
frozenset({'A3K0010000'}),frozenset({'AR5X010000'}),0.11072664359861592,0.1695501730103806,0.02422145328719723,0.21875,1.2901785714285716,0.005447731708193151,1.0629757785467129,0.2529182879377433
frozenset({'AEC0010000'}),frozenset({'AR5K010000'}),0.05536332179930796,0.08650519031141868,0.01730103806228374,0.3125,3.6125000000000003,0.01251182337376229,1.328719723183391,0.7655677655677656
frozenset({'AR5K010000'}),frozenset({'AEC0010000'}),0.08650519031141868,0.05536332179930796,0.01730103806228374,0.20000000000000004,3.6125000000000007,0.01251182337376229,1.180795847750865,0.7916666666666667
frozenset({'AEC0010000'}),frozenset({'AR5X010000'}),0.05536332179930796,0.1695501730103806,0.010380622837370242,0.18749999999999997,1.1058673469387754,0.0009937620478682012,1.0220920947564547,0.10134310134310137
frozenset({'AR5X010000'}),frozenset({'AEC0010000'}),0.1695501730103806,0.05536332179930796,0.010380622837370242,0.061224489795918366,1.1058673469387754,0.0009937620478682012,1.006243418083346,0.11527777777777781
frozenset({'AEC0010000'}),frozenset({'AR5Y010000'}),0.05536332179930796,0.2491349480968858,0.01384083044982699,0.25,1.0034722222222223,4.789214688521483e-05,1.0011534025374855,0.003663003663003688
frozenset({'AR5Y010000'}),frozenset({'AEC0010000'}),0.2491349480968858,0.05536332179930796,0.01384083044982699,0.05555555555555556,1.0034722222222223,4.789214688521483e-05,1.0002035416242623,0.004608294930875608
frozenset({'AKCH010000'}),frozenset({'AMFT010000'}),0.04844290657439446,0.05190311418685121,0.01384083044982699,0.2857142857142857,5.504761904761905,0.01132649273835323,1.3273356401384082,0.86
frozenset({'AMFT010000'}),frozenset({'AKCH010000'}),0.05190311418685121,0.04844290657439446,0.01384083044982699,0.26666666666666666,5.504761904761905,0.01132649273835323,1.2975778546712802,0.8631386861313869
frozenset({'AKCH010000'}),frozenset({'AR5X010000'}),0.04844290657439446,0.1695501730103806,0.01384083044982699,0.2857142857142857,1.685131195335277,0.005627327259012705,1.1626297577854672,0.42727272727272736
frozenset({'AR5X010000'}),frozenset({'AKCH010000'}),0.1695501730103806,0.04844290657439446,0.01384083044982699,0.0816326530612245,1.6851311953352772,0.005627327259012705,1.0361399461745482,0.4895833333333334
frozenset({'AKCH010000'}),frozenset({'AWK8010000'}),0.04844290657439446,0.1903114186851211,0.01730103806228374,0.35714285714285715,1.8766233766233766,0.008081799786879947,1.259515570934256,0.4909090909090909
frozenset({'AWK8010000'}),frozenset({'AKCH010000'}),0.1903114186851211,0.04844290657439446,0.01730103806228374,0.09090909090909091,1.8766233766233766,0.008081799786879947,1.0467128027681663,0.576923076923077
frozenset({'AKCH010000'}),frozenset({'VMR0010000'}),0.04844290657439446,0.04498269896193772,0.010380622837370242,0.21428571428571427,4.763736263736263,0.008201530154092982,1.2154765649575339,0.8303030303030302
frozenset({'VMR0010000'}),frozenset({'AKCH010000'}),0.04498269896193772,0.04844290657439446,0.010380622837370242,0.23076923076923075,4.763736263736264,0.008201530154092982,1.2370242214532872,0.8272946859903382
