antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'AWK8010000'}),frozenset({'A1XG010000'}),0.07553635280095351,0.05035756853396901,0.011386855099608377,0.15074668920822767,2.9935259703124975,0.007583028036628298,1.1182086892080105,0.7203590712946297
frozenset({'A1XG010000'}),frozenset({'AWK8010000'}),0.05035756853396901,0.07553635280095351,0.011386855099608377,0.22612003381234147,2.993525970312497,0.007583028036628298,1.19458273581264,0.701259497549918
frozenset({'AWK8010000'}),frozenset({'AEY9010003'}),0.07553635280095351,0.04493018900051081,0.01321726545206879,0.1749788672865596,3.8944609666469523,0.009823402844312684,1.1576307237831922,0.8039527107249491
frozenset({'AEY9010003'}),frozenset({'AWK8010000'}),0.04493018900051081,0.07553635280095351,0.01321726545206879,0.29417337754618667,3.8944609666469527,0.009823402844312684,1.3097602410987834,0.7781892449878137
frozenset({'AMFR010000'}),frozenset({'AMFW010000'}),0.0707474885067257,0.07921845734718203,0.01968755320960327,0.2782791817087846,3.5128073813555973,0.014083046308912968,1.2758140257515493,0.7697879684540243
frozenset({'AMFW010000'}),frozenset({'AMFR010000'}),0.07921845734718203,0.0707474885067257,0.01968755320960327,0.2485222998387963,3.5128073813555973,0.014083046308912968,1.2365669816867955,0.7768698327100619
frozenset({'AWK7010000'}),frozenset({'AMFR010000'}),0.0892644304444066,0.0707474885067257,0.03045717691128895,0.34120171673819744,4.822810306626795,0.024141942644363878,1.4105266135370222,0.870342656325098
frozenset({'AMFR010000'}),frozenset({'AWK7010000'}),0.0707474885067257,0.0892644304444066,0.03045717691128895,0.43050541516245483,4.8228103066267956,0.024141942644363878,1.599199700582563,0.8529995937734985
frozenset({'AMFR010000'}),frozenset({'AWK8010000'}),0.0707474885067257,0.07553635280095351,0.014324025200068109,0.20246690734055353,2.680390299940425,0.008980017948442671,1.159153965782584,0.674649782630743
frozenset({'AWK8010000'}),frozenset({'AMFR010000'}),0.07553635280095351,0.0707474885067257,0.014324025200068109,0.18963088193857425,2.6803902999404245,0.008980017948442671,1.146702768876784,0.6781445725718486
frozenset({'AMFT010000'}),frozenset({'AWK8010000'}),0.03539502809467052,0.07553635280095351,0.018410522731142517,0.5201443174984968,6.886013134220731,0.01573691140158382,1.9265451695388653,0.8861431486864476
frozenset({'AWK8010000'}),frozenset({'AMFT010000'}),0.07553635280095351,0.03539502809467052,0.018410522731142517,0.24373062834601297,6.886013134220731,0.01573691140158382,1.2754780347585746,0.924620551205675
frozenset({'AWK7010000'}),frozenset({'AMFW010000'}),0.0892644304444066,0.07921845734718203,0.019879107781372383,0.22269909394372917,2.8112021036679664,0.012807717305591663,1.1845882791061102,0.7074284902163998
frozenset({'AMFW010000'}),frozenset({'AWK7010000'}),0.07921845734718203,0.0892644304444066,0.019879107781372383,0.2509403546480387,2.8112021036679664,0.012807717305591663,1.2158385186104443,0.6997102560297662
frozenset({'AWK8010000'}),frozenset({'AMFW010000'}),0.07553635280095351,0.07921845734718203,0.014302741358760428,0.1893491124260355,2.3902145884537482,0.008318868016236398,1.1358546037104105,0.6291513180614711
frozenset({'AMFW010000'}),frozenset({'AWK8010000'}),0.07921845734718203,0.07553635280095351,0.014302741358760428,0.18054809242342823,2.3902145884537482,0.008318868016236398,1.1281487524179838,0.6316672252785352
frozenset({'AYGL400000'}),frozenset({'AMFW010000'}),0.091626936829559,0.07921845734718203,0.010258811510301379,0.11196283391405343,1.413342769644784,0.003000266923216018,1.0368727546744394,0.3219575371058619
frozenset({'AMFW010000'}),frozenset({'AYGL400000'}),0.07921845734718203,0.091626936829559,0.010258811510301379,0.12950026867275657,1.413342769644784,0.003000266923216018,1.0435075744198707,0.3176188277504756
frozenset({'AR5X010000'}),frozenset({'AR5K010000'}),0.13815341392814576,0.09803337306317043,0.016835518474374256,0.12186103836080728,1.2430566709388122,0.003291873306805736,1.0271342763942037,0.22687500450749823
frozenset({'AR5K010000'}),frozenset({'AR5X010000'}),0.09803337306317043,0.13815341392814576,0.016835518474374256,0.1717325227963526,1.2430566709388122,0.003291873306805736,1.0405413828170278,0.21678346211529861
frozenset({'AR5X010000'}),frozenset({'AVHSG0301'}),0.13815341392814576,0.07283330495487826,0.026924059254214202,0.19488522569711908,2.6757707317806667,0.016861889527028037,1.1515956788247006,0.7266674989645895
frozenset({'AVHSG0301'}),frozenset({'AR5X010000'}),0.07283330495487826,0.13815341392814576,0.026924059254214202,0.369666861484512,2.675770731780667,0.016861889527028037,1.3672874443847405,0.6754728211646188
frozenset({'AR5X010000'}),frozenset({'AWK8010000'}),0.13815341392814576,0.07553635280095351,0.010514217605993529,0.0761053766753967,1.0075331129097882,7.861259086094571e-05,1.0006158969433068,0.008675313601960968
frozenset({'AWK8010000'}),frozenset({'AR5X010000'}),0.07553635280095351,0.13815341392814576,0.010514217605993529,0.1391941391941392,1.0075331129097882,7.861259086094571e-05,1.0012090127558135,0.008087705161372291
frozenset({'AR5X010000'}),frozenset({'AYGL400000'}),0.13815341392814576,0.091626936829559,0.018687212668142345,0.13526421198582653,1.476249416014419,0.006028638537360218,1.0504631307748677,0.37432148203910715
frozenset({'AYGL400000'}),frozenset({'AR5X010000'}),0.091626936829559,0.13815341392814576,0.018687212668142345,0.20394889663182345,1.4762494160144188,0.006028638537360218,1.0826523352901467,0.35514889693314194
frozenset({'AR5X010000'}),frozenset({'VMJW400000'}),0.13815341392814576,0.08315596798910267,0.01968755320960327,0.142505006932676,1.7137075110634374,0.00819927234340913,1.0692121113515514,0.48322968067220157
frozenset({'VMJW400000'}),frozenset({'AR5X010000'}),0.08315596798910267,0.13815341392814576,0.01968755320960327,0.23675454312771949,1.7137075110634374,0.00819927234340913,1.1291866572041365,0.4542428548752108
frozenset({'AVHSG0301'}),frozenset({'VMJW400000'}),0.07283330495487826,0.08315596798910267,0.011237868210454622,0.1542957334891876,1.855498014398769,0.005181344235086213,1.0841189625229062,0.49727965226851867
frozenset({'VMJW400000'}),frozenset({'AVHSG0301'}),0.08315596798910267,0.07283330495487826,0.011237868210454622,0.13514205272587662,1.8554980143987687,0.005181344235086213,1.0720450658601037,0.502878478355531
frozenset({'AX10010000'}),frozenset({'AX14010000'}),0.04075855610420569,0.037565979908053805,0.013366252341222544,0.3279373368146214,8.729636165947973,0.01183511724153067,1.4320599444258564,0.92307071831684
